"user_name","user_birth_date","user_birth_city","seller","seller_address","transaction_amount","transaction_date"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","25,55","2022-10-15"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","135,58","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Sforza-Ferrata SPA","Stretto Cafarchia, 3 Piano 7 30035, Mirano (VE)","238,99","2022-10-30"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","59,70","2022-11-02"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","41,22","2022-11-02"
"Tullio Majorana","1991-12-04","Giralba","Raurica, Pistoletto e Gangemi Group","Canale Gilberto, 39 33046, Pulfero (UD)","234,18","2022-10-24"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Maderna-Riccardi Group","Strada Lidia, 4 46040, Gazoldo Degli Ippoliti (MN)","121,81","2022-10-23"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","223,88","2022-11-03"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","102,100","2022-10-21"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","222,13","2022-10-17"
"Marta Coppola","1984-03-04","Albese Con Cassano","Sinisi s.r.l.","Strada Sagredo, 58 Appartamento 29 05039, Stroncone (TR)","229,62","2022-10-26"
"Mirko Malatesta","2000-02-10","Santorso","Napolitano, Udinesi e Panicucci Group","Viale Montanari, 0 Appartamento 88 60022, Acquaviva Villa Musone (AN)","43,95","2022-10-24"
"Mirko Malatesta","2000-02-10","Santorso","Napolitano, Udinesi e Panicucci Group","Viale Montanari, 0 Appartamento 88 60022, Acquaviva Villa Musone (AN)","198,96","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","241,7","2022-11-01"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","197,38","2022-10-24"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cerquiglini, Acerbi e Mazzocchi s.r.l.","Vicolo Emma, 6 45011, Baricetta (RO)","24,85","2022-11-03"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","36,91","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","64,4","2022-10-13"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","92,98","2022-10-24"
"Tullio Majorana","1991-12-04","Giralba","Antonello, Telesio e Pavarotti e figli","Canale Fiorenzo, 718 Piano 2 83050, San Nicola Baronia (AV)","61,92","2022-11-03"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ruggieri-Mannoia s.r.l.","Piazza Ariosto, 71 Piano 7 15051, Castellania (AL)","147,74","2022-10-25"
"Maria Marazzi","1992-06-18","Melle","Stefanelli-Tebaldi e figli","Vicolo Abate, 3 Appartamento 4 47832, San Clemente (RN)","144,33","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","122,75","2022-11-11"
"Mirko Malatesta","2000-02-10","Santorso","Barese, Boccioni e Bixio Group","Vicolo Comeriato, 3 Appartamento 4 41058, Vignola (MO)","38,47","2022-10-16"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","59,100","2022-10-17"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","147,85","2022-10-14"
"Tullio Majorana","1991-12-04","Giralba","Sgalambro, Tencalla e Condoleo e figli","Vicolo Tomei, 698 Piano 4 02030, Collelungo (RI)","32,92","2022-11-09"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","89,78","2022-10-23"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","18,59","2022-10-15"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","3,62","2022-10-23"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Pacomio-Sinisi Group","Viale Grassi, 53 Piano 9 19033, Molicciara (SP)","115,70","2022-10-20"
"Vittorio Gentili","1992-04-27","Sommati","Odescalchi Group","Borgo Gianmarco, 539 16049, Amborzasco (GE)","49,11","2022-11-10"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","132,2","2022-11-02"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","209,51","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gianetti s.r.l.","Contrada Briccialdi, 894 55022, Casabasciana (LU)","60,31","2022-10-17"
"Diana Maffei","1995-12-06","Peschici","Orengo, Ruffini e Petrucci s.r.l.","Contrada Antonello, 72 81013, San Giovanni E Paolo (CE)","170,73","2022-10-13"
"Diana Maffei","1995-12-06","Peschici","Ramazzotti, Polani e Pozzecco e figli","Contrada Morena, 211 Appartamento 78 58014, Manciano (GR)","158,27","2022-11-11"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Battaglia, Tamburini e Bersani s.r.l.","Canale Giannuzzi, 60 21061, Maccagno (VA)","151,53","2022-10-29"
"Vittorio Gentili","1992-04-27","Sommati","Aloisio s.r.l.","Vicolo Camilleri, 82 Appartamento 6 23814, Maggio (LC)","187,81","2022-11-11"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","112,97","2022-10-26"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","33,43","2022-10-15"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","138,85","2022-10-21"
"Marta Coppola","1984-03-04","Albese Con Cassano","Oscuro SPA","Incrocio Morandi, 3 Appartamento 84 76123, Andria (BT)","231,83","2022-10-20"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Falier SPA","Borgo Giuseppe, 71 24023, Clusone (BG)","49,57","2022-11-09"
"Maria Marazzi","1992-06-18","Melle","Paolucci e figli","Via Alessandro, 10 Appartamento 9 02048, Stimigliano Stazione (RI)","55,64","2022-10-31"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","190,90","2022-10-16"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","143,94","2022-11-03"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","249,7","2022-10-28"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","116,20","2022-11-05"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","233,33","2022-10-31"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","75,98","2022-11-05"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Panicucci-Abbagnale e figli","Incrocio Arsenio, 6 Piano 8 30171, Mestre (VE)","14,95","2022-11-06"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","33,33","2022-11-07"
"Marta Coppola","1984-03-04","Albese Con Cassano","Procacci-Mastandrea s.r.l.","Stretto Pometta, 383 63828, Campofilone (FM)","190,100","2022-10-27"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","69,66","2022-11-05"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","146,59","2022-11-03"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","116,75","2022-10-24"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","110,68","2022-10-17"
"Marta Coppola","1984-03-04","Albese Con Cassano","Porcellato, Monaco e Udinese Group","Via Amadeo, 718 Piano 3 55018, Segromigno In Monte (LU)","104,39","2022-11-11"
"Maria Marazzi","1992-06-18","Melle","Pisani s.r.l.","Piazza Cianciolo, 7 Piano 7 81053, Riardo (CE)","74,68","2022-10-25"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","55,85","2022-10-28"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","245,37","2022-10-21"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","91,44","2022-10-20"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","201,5","2022-11-10"
"Marta Coppola","1984-03-04","Albese Con Cassano","Procacci-Mastandrea s.r.l.","Stretto Pometta, 383 63828, Campofilone (FM)","143,16","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Sforza-Ferrata SPA","Stretto Cafarchia, 3 Piano 7 30035, Mirano (VE)","105,8","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","73,47","2022-11-06"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","61,37","2022-10-16"
"Luciano Castiglione","1993-06-07","Baricella","Fattori, Zarlino e Schiavo Group","Viale Bergoglio, 34 Appartamento 3 23016, Mantello (SO)","198,7","2022-10-23"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","111,5","2022-11-05"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","26,31","2022-11-06"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","99,52","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Tebaldi-Ughi e figli","Via Tamborini, 53 80047, Santa Maria La Scala (NA)","235,97","2022-10-18"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","105,80","2022-11-05"
"Maria Marazzi","1992-06-18","Melle","Pisani s.r.l.","Piazza Cianciolo, 7 Piano 7 81053, Riardo (CE)","101,96","2022-10-22"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Doglioni-Scaramucci s.r.l.","Via Alberico, 46 50025, Montespertoli (FI)","81,99","2022-10-18"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Pacomio-Sinisi Group","Viale Grassi, 53 Piano 9 19033, Molicciara (SP)","81,68","2022-10-16"
"Vittorio Gentili","1992-04-27","Sommati","Aloisio s.r.l.","Vicolo Camilleri, 82 Appartamento 6 23814, Maggio (LC)","192,86","2022-10-23"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","84,58","2022-10-31"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","120,63","2022-10-15"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","99,58","2022-11-08"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gianetti s.r.l.","Contrada Briccialdi, 894 55022, Casabasciana (LU)","26,97","2022-11-09"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cerquiglini, Acerbi e Mazzocchi s.r.l.","Vicolo Emma, 6 45011, Baricetta (RO)","216,8","2022-10-25"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","152,13","2022-11-07"
"Tullio Majorana","1991-12-04","Giralba","Marcacci, Toso e Crespi SPA","Rotonda Sobrero, 65 Piano 5 98026, Nizza Di Sicilia (ME)","230,99","2022-10-19"
"Maria Marazzi","1992-06-18","Melle","Canetta-Morlacchi Group","Vicolo Ennio, 21 26834, Corte Palasio (LO)","143,37","2022-11-02"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","159,76","2022-10-17"
"Diana Maffei","1995-12-06","Peschici","Finotto, Ajello e Cerutti s.r.l.","Borgo Azeglio, 31 26817, San Martino In Strada (LO)","173,18","2022-11-02"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Maderna-Riccardi Group","Strada Lidia, 4 46040, Gazoldo Degli Ippoliti (MN)","108,85","2022-11-06"
"Luciano Castiglione","1993-06-07","Baricella","Gangemi e figli","Via Alberico, 0 89049, Stilo (RC)","93,44","2022-10-30"
"Maria Marazzi","1992-06-18","Melle","Parmitano Group","Rotonda Surian, 57 Appartamento 69 22025, Lezzeno (CO)","134,98","2022-11-06"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","26,26","2022-11-05"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","165,21","2022-11-02"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","13,79","2022-10-24"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","151,8","2022-10-28"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ioppi, Baggio e Trentin e figli","Vicolo Donatella, 710 Piano 4 25031, Capriolo (BS)","223,4","2022-11-02"
"Tullio Majorana","1991-12-04","Giralba","Raurica, Pistoletto e Gangemi Group","Canale Gilberto, 39 33046, Pulfero (UD)","117,31","2022-11-02"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","162,32","2022-11-06"
"Mirko Malatesta","2000-02-10","Santorso","Barese, Boccioni e Bixio Group","Vicolo Comeriato, 3 Appartamento 4 41058, Vignola (MO)","97,7","2022-10-24"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","2,57","2022-11-04"
"Luciano Castiglione","1993-06-07","Baricella","Salvo, Gabbana e Oscuro SPA","Canale Mercedes, 0 Piano 0 25089, Bostone (BS)","39,30","2022-10-19"
"Marta Coppola","1984-03-04","Albese Con Cassano","Passalacqua s.r.l.","Piazza Alfio, 40 Appartamento 5 80063, Piano Di Sorrento (NA)","33,89","2022-11-08"
"Mirko Malatesta","2000-02-10","Santorso","Napolitano, Udinesi e Panicucci Group","Viale Montanari, 0 Appartamento 88 60022, Acquaviva Villa Musone (AN)","81,35","2022-11-04"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","193,73","2022-10-26"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","211,78","2022-10-22"
"Marta Coppola","1984-03-04","Albese Con Cassano","Oscuro SPA","Incrocio Morandi, 3 Appartamento 84 76123, Andria (BT)","100,37","2022-11-09"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Comencini, Boito e Modigliani SPA","Via Ernesto, 166 50019, Querceto (FI)","94,92","2022-10-15"
"Maria Marazzi","1992-06-18","Melle","Paolucci e figli","Via Alessandro, 10 Appartamento 9 02048, Stimigliano Stazione (RI)","55,51","2022-10-20"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","105,48","2022-10-18"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","8,15","2022-11-09"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","47,73","2022-10-20"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","78,21","2022-10-13"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","2,23","2022-10-25"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","80,57","2022-10-22"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","167,61","2022-11-04"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","166,24","2022-10-16"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","55,100","2022-10-28"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","200,81","2022-11-03"
"Tullio Majorana","1991-12-04","Giralba","Volta e figli","Piazza Gritti, 29 Appartamento 2 34071, Brazzano (GO)","240,91","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","250,2","2022-10-24"
"Maria Marazzi","1992-06-18","Melle","Marino e figli","Borgo Sandro, 37 30131, Venezia (VE)","2,99","2022-11-03"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Greggio-Mascagni Group","Rotonda Mauro, 14 Appartamento 64 84052, Ceraso (SA)","150,100","2022-10-22"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Rinaldi, Virgilio e Panatta Group","Strada Leonetti, 68 90022, Caltavuturo (PA)","136,71","2022-10-19"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","75,41","2022-11-10"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","121,5","2022-10-23"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","35,17","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Oscuro SPA","Incrocio Morandi, 3 Appartamento 84 76123, Andria (BT)","224,1","2022-11-04"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","169,88","2022-10-30"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","215,27","2022-10-13"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","6,98","2022-11-02"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","49,38","2022-10-14"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","178,62","2022-10-23"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","61,63","2022-10-19"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","214,90","2022-10-22"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Zamengo e figli","Via Scarfoglio, 145 09030, Pabillonis (SU)","167,50","2022-10-30"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cendron, Morellato e Modiano s.r.l.","Stretto Traversa, 676 67057, Pescina (AQ)","153,6","2022-10-14"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","192,95","2022-10-26"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","91,65","2022-10-28"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ioppi, Baggio e Trentin e figli","Vicolo Donatella, 710 Piano 4 25031, Capriolo (BS)","198,84","2022-10-24"
"Diana Maffei","1995-12-06","Peschici","Barsanti-Pace e figli","Viale Tamburello, 565 Piano 1 40137, Bologna (BO)","122,69","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","93,26","2022-11-06"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","100,51","2022-11-09"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Pacomio-Sinisi Group","Viale Grassi, 53 Piano 9 19033, Molicciara (SP)","54,34","2022-11-07"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","7,67","2022-11-03"
"Diana Maffei","1995-12-06","Peschici","Sagese, Canali e Favata Group","Via Balotelli, 42 Appartamento 8 20017, Lucernate (MI)","213,45","2022-10-18"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","188,96","2022-11-07"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","38,50","2022-10-24"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","224,32","2022-10-28"
"Maria Marazzi","1992-06-18","Melle","Marino e figli","Borgo Sandro, 37 30131, Venezia (VE)","105,13","2022-10-17"
"Mirko Malatesta","2000-02-10","Santorso","Fantozzi SPA","Piazza Guarino, 7 Appartamento 43 06134, Perugia (PG)","227,78","2022-11-01"
"Maria Marazzi","1992-06-18","Melle","Delle, Cesarotti e Papetti s.r.l.","Via Fedele, 164 24049, Verdello (BG)","44,17","2022-11-11"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Panicucci-Abbagnale e figli","Incrocio Arsenio, 6 Piano 8 30171, Mestre (VE)","39,33","2022-10-18"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","32,98","2022-10-19"
"Diana Maffei","1995-12-06","Peschici","Orengo, Ruffini e Petrucci s.r.l.","Contrada Antonello, 72 81013, San Giovanni E Paolo (CE)","153,14","2022-10-21"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Barracco-Anguissola s.r.l.","Borgo Ilaria, 61 Piano 9 84051, Centola (SA)","17,51","2022-11-05"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","73,61","2022-11-04"
"Vittorio Gentili","1992-04-27","Sommati","Odescalchi Group","Borgo Gianmarco, 539 16049, Amborzasco (GE)","184,43","2022-10-25"
"Tullio Majorana","1991-12-04","Giralba","Marcacci, Toso e Crespi SPA","Rotonda Sobrero, 65 Piano 5 98026, Nizza Di Sicilia (ME)","123,4","2022-11-02"
"Mirko Malatesta","2000-02-10","Santorso","Roero-Ferrari s.r.l.","Strada Tomaselli, 6 Piano 5 31035, Ciano Del Montello (TV)","201,14","2022-11-10"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","13,65","2022-11-01"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","179,49","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Leoncavallo-Fagotto Group","Viale Maspero, 24 Appartamento 5 34136, Trieste (TS)","121,82","2022-10-23"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Scamarcio-Bernini s.r.l.","Strada Carlo, 77 05039, Stroncone (TR)","101,21","2022-10-28"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Rinaldi, Virgilio e Panatta Group","Strada Leonetti, 68 90022, Caltavuturo (PA)","118,17","2022-10-18"
"Maria Marazzi","1992-06-18","Melle","Paolucci e figli","Via Alessandro, 10 Appartamento 9 02048, Stimigliano Stazione (RI)","250,9","2022-10-24"
"Mirko Malatesta","2000-02-10","Santorso","Filippini, Vidoni e Vigliotti s.r.l.","Via Respighi, 70 12084, Rifreddo Mondovi' (CN)","96,18","2022-10-13"
"Vittorio Gentili","1992-04-27","Sommati","Odescalchi Group","Borgo Gianmarco, 539 16049, Amborzasco (GE)","130,80","2022-10-28"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","110,90","2022-11-11"
